"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.015960","17,410","0.015862","18,634","-0.000056","[-0.002301, +0.002189]","-0.003501","[-14.4166%, +13.7165%]","0.961097","-","0.013600","0.000000","0.000000"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014773","20,978","0.013879","19,954","-0.000903","[-0.003008, +0.001201]","-0.061144","[-20.3595%, +8.1307%]","0.400194","-","0.013846","-0.000793","-0.000012"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.016630","2,939","0.016408","6,041","0.000238","[-0.004684, +0.00516]","0.014306","[-28.1683%, +31.0295%]","0.924530","-","0.003429","0.000000","0.000000"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.006211","110","0.017341","123","0.009930","[-0.01276, +0.03262]","1.598756","[-205.4299%, +525.181%]","0.391016","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.016484","126","0.029412","106","0.011304","[-0.022368, +0.044976]","0.685761","[-135.6979%, +272.8502%]","0.510556","-","0.000092","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.015071","22,831","0.014379","24,585","-0.000649","[-0.002582, +0.001284]","-0.043059","[-17.134%, +8.5223%]","0.510619","-","0.016868","-0.000696","-0.000011"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.002905","23,007","0.002977","24,763","0.000092","[-0.000772, +0.000957]","0.031827","[-26.5799%, +32.9453%]","0.833987","-","0.017066","0.000426","0.000002"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.002824","20,973","0.003257","19,951","0.000429","[-0.000544, +0.001402]","0.151942","[-19.2675%, +49.656%]","0.387505","-","0.013846","0.001603","0.000006"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003424","2,939","0.002084","6,041","-0.000668","[-0.002828, +0.001492]","-0.195036","[-82.5753%, +43.5682%]","0.544464","-","0.003429","-0.000565","-0.000002"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.000000","110","0.000000","123","0.000000","[0, 0]","","[]","1.000000","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.010989","126","0.007353","106","-0.001508","[-0.024977, +0.02196]","-0.137272","[-227.2884%, +199.8339%]","0.899746","-","0.000092","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.002873","22,826","0.002977","24,582","0.000123","[-0.000733, +0.000979]","0.042809","[-25.5045%, +34.0663%]","0.778177","-","0.016869","0.000561","0.000002"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.002828","5,964","0.003157","6,566","0.000329","[-0.001574, +0.002232]","0.116496","[-55.6484%, +78.9475%]","0.734400","-","0.003467","0.000310","0.000001"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.002925","17,406","0.002930","18,632","0.000027","[-0.000943, +0.000997]","0.009240","[-32.2481%, +34.096%]","0.956462","-","0.013601","0.000000","0.000000"
"dbd_avg_o2_package","Metric","N/A","","mean","0.648575","23,007","0.669137","24,763","0.020581","[+0.012694, +0.028469]","0.031733","[+1.9572%, +4.3894%]","0.000000","Significant","0.017066","0.000515","0.000351"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.617360","20,973","0.615322","19,951","-0.001984","[-0.010882, +0.006913]","-0.003214","[-1.7626%, +1.1198%]","0.662019","-","0.013846","-0.000040","-0.000027"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.845928","2,939","0.841255","6,041","-0.016518","[-0.032206, -0.000831]","-0.019527","[-3.8071%, -0.0983%]","0.039035","Significant","0.003429","-0.000076","-0.000052"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.577640","110","0.664740","123","0.083566","[-0.021259, +0.188391]","0.144668","[-3.6803%, +32.6139%]","0.118176","-","0.000094","0.000011","0.000008"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.637363","126","0.610294","106","-0.026877","[-0.133238, +0.079485]","-0.042169","[-20.9046%, +12.4708%]","0.620411","-","0.000092","-0.000003","-0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.648968","22,826","0.669570","24,582","0.020589","[+0.012656, +0.028522]","0.031726","[+1.9502%, +4.3949%]","0.000000","Significant","0.016869","0.000510","0.000348"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.627682","5,964","0.654489","6,566","0.026806","[+0.010043, +0.04357]","0.042707","[+1.6%, +6.9414%]","0.001723","Significant","0.003467","0.000137","0.000093"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.653823","17,406","0.672931","18,632","0.019130","[+0.010249, +0.02801]","0.029258","[+1.5676%, +4.2841%]","0.000024","Significant","0.013601","0.000381","0.000260"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.618963","23,727","0.630779","25,529","0.011294","[+0.003304, +0.019284]","0.018246","[+0.5338%, +3.1155%]","0.005598","Significant","0.017217","0.000300","0.000194"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.569697","112","0.609890","129","0.049215","[-0.056611, +0.155041]","0.086388","[-9.937%, +27.2146%]","0.362035","-","0.000095","0.000007","0.000004"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.598959","131","0.541667","111","-0.053936","[-0.164004, +0.056132]","-0.090050","[-27.3816%, +9.3716%]","0.336840","-","0.000095","-0.000007","-0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.619282","23,541","0.631425","25,345","0.011629","[+0.003609, +0.019649]","0.018779","[+0.5828%, +3.1729%]","0.004484","Significant","0.017019","0.000306","0.000198"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.627844","6,200","0.635540","6,835","0.007703","[-0.008944, +0.024349]","0.012269","[-1.4245%, +3.8782%]","0.364443","-","0.003526","0.000042","0.000027"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.616713","17,903","0.629531","19,143","0.012386","[+0.003318, +0.021453]","0.020084","[+0.5381%, +3.4786%]","0.007423","Significant","0.013691","0.000261","0.000169"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.602271","21,652","0.598426","20,628","-0.003827","[-0.012619, +0.004965]","-0.006354","[-2.0952%, +0.8244%]","0.393576","-","0.013997","-0.000082","-0.000053"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.725332","3,017","0.735436","6,192","-0.008975","[-0.02926, +0.01131]","-0.012374","[-4.0341%, +1.5593%]","0.385852","-","0.003434","-0.000043","-0.000028"
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","12.672833","1,127","12.122530","1,293","-0.517408","[-1.49562, +0.460805]","-0.040828","[-11.8018%, +3.6362%]","0.299882","-","0.044366","-0.001727","-0.022779"
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","9.400563","6,171","9.438029","6,380","0.047458","[-0.348701, +0.443617]","0.005048","[-3.7094%, +4.719%]","0.814368","-","0.017403","0.000069","0.000815"
