"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_a Value","treatment_a Exposure Volume","treatment_a Absolute Impact","treatment_a Absolute Impact Confidence Interval","treatment_a Relative Impact","treatment_a Relative Impact Confidence Interval","treatment_a P Value","treatment_a Significance","treatment_a Coverage","treatment_a Relative Global Lift","treatment_a Absolute Global Lift","treatment_b Value","treatment_b Exposure Volume","treatment_b Absolute Impact","treatment_b Absolute Impact Confidence Interval","treatment_b Relative Impact","treatment_b Relative Impact Confidence Interval","treatment_b P Value","treatment_b Significance","treatment_b Coverage","treatment_b Relative Global Lift","treatment_b Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.016847","2,352","0.010470","2,314","-0.006372","[-0.012187, -0.000558]","-0.378258","[-72.3386%, -3.3129%]","0.031706","Significant","0.002038","-0.000830","-0.000013","0.013915","2,393","-0.002948","[-0.009022, +0.003125]","-0.175015","[-53.5545%, +18.5515%]","0.341381","-","0.002038","-0.000381","-0.000006"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.016469","410,053","0.016310","399,446","-0.000160","[-0.000637, +0.000317]","-0.009696","[-3.8665%, +1.9272%]","0.511796","-","0.371262","-0.003722","-0.000059","0.016311","399,722","-0.000155","[-0.000631, +0.000322]","-0.009407","[-3.8337%, +1.9523%]","0.523920","-","0.371262","-0.003610","-0.000058"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.003604","412,212","0.003566","401,696","-0.000038","[-0.00026, +0.000183]","-0.010662","[-7.2009%, +5.0685%]","0.733377","-","0.375508","-0.003940","-0.000014","0.003399","401,949","-0.000205","[-0.000422, +0.000013]","-0.056817","[-11.7177%, +0.3543%]","0.065049","-","0.375508","-0.020996","-0.000077"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.004673","2,280","0.004626","2,336","-0.000052","[-0.003308, +0.003204]","-0.011106","[-70.7809%, +68.5597%]","0.975076","-","0.002275","0.000000","0.000000","0.005513","2,392","0.000839","[-0.002726, +0.004405]","0.179634","[-58.3352%, +94.262%]","0.644480","-","0.002275","0.000526","0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003183","2,348","0.003179","2,313","0.000001","[-0.002775, +0.002778]","0.000448","[-87.1864%, +87.2761%]","0.999196","-","0.002040","0.000000","0.000000","0.004026","2,389","0.000834","[-0.002103, +0.003771]","0.261952","[-66.0885%, +118.4789%]","0.577975","-","0.002040","0.000469","0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.003601","409,209","0.003560","398,655","-0.000040","[-0.000263, +0.000182]","-0.011205","[-7.294%, +5.0531%]","0.722052","-","0.371009","-0.004086","-0.000015","0.003381","398,872","-0.000219","[-0.000438, -0.000001]","-0.060895","[-12.1562%, -0.0227%]","0.049150","Significant","0.371009","-0.022201","-0.000081"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003550","378,660","0.003501","369,011","-0.000049","[-0.000285, +0.000187]","-0.013787","[-8.0309%, +5.2735%]","0.684585","-","0.320100","-0.004279","-0.000016","0.003404","369,209","-0.000146","[-0.00038, +0.000088]","-0.041116","[-10.7114%, +2.4883%]","0.222079","-","0.320100","-0.012763","-0.000047"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003915","58,372","0.003941","57,012","0.000027","[-0.000583, +0.000637]","0.006984","[-14.8835%, +16.2803%]","0.929994","-","0.055449","0.000413","0.000002","0.003372","56,991","-0.000542","[-0.001122, +0.000038]","-0.138369","[-28.6452%, +0.9715%]","0.067043","-","0.055449","-0.008175","-0.000030"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.003796","66,595","0.003506","65,013","-0.000290","[-0.000938, +0.000359]","-0.076322","[-24.7208%, +9.4564%]","0.381375","-","0.043064","-0.003407","-0.000012","0.003310","65,064","-0.000486","[-0.001126, +0.000154]","-0.128047","[-29.6592%, +4.0499%]","0.136482","-","0.043064","-0.005711","-0.000021"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.003579","350,000","0.003574","341,037","-0.000005","[-0.00024, +0.00023]","-0.001423","[-6.7139%, +6.4293%]","0.966147","-","0.332469","-0.000462","-0.000002","0.003411","341,318","-0.000168","[-0.000399, +0.000063]","-0.046986","[-11.1606%, +1.7634%]","0.154121","-","0.332469","-0.015264","-0.000056"
"dbd_avg_o2_package","Metric","N/A","","mean","0.653673","412,211","0.653536","401,696","-0.000134","[-0.002032, +0.001765]","-0.000204","[-0.3109%, +0.27%]","0.890367","-","0.375504","-0.000075","-0.000050","0.653594","401,947","-0.000079","[-0.001966, +0.001807]","-0.000122","[-0.3007%, +0.2764%]","0.934219","-","0.375504","-0.000045","-0.000030"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.613610","2,280","0.625034","2,336","0.011869","[-0.012591, +0.036329]","0.019343","[-2.0519%, +5.9205%]","0.341570","-","0.002275","0.000042","0.000028","0.630651","2,392","0.016938","[-0.008001, +0.041877]","0.027604","[-1.3039%, +6.8246%]","0.183135","-","0.002275","0.000058","0.000039"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.678867","2,348","0.687758","2,313","0.008262","[-0.016338, +0.032862]","0.012170","[-2.4067%, +4.8407%]","0.510381","-","0.002040","0.000026","0.000017","0.686900","2,389","0.008124","[-0.016099, +0.032347]","0.011967","[-2.3715%, +4.7648%]","0.510969","-","0.002040","0.000025","0.000017"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.653738","409,208","0.653514","398,655","-0.000222","[-0.002131, +0.001687]","-0.000340","[-0.326%, +0.258%]","0.819514","-","0.371005","-0.000123","-0.000082","0.653504","398,870","-0.000235","[-0.002131, +0.001661]","-0.000360","[-0.326%, +0.2541%]","0.807917","-","0.371005","-0.000131","-0.000087"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.611026","66,594","0.609483","65,013","-0.001543","[-0.00683, +0.003744]","-0.002525","[-1.1178%, +0.6127%]","0.567270","-","0.043063","-0.000099","-0.000067","0.609703","65,063","-0.001323","[-0.006592, +0.003946]","-0.002165","[-1.0789%, +0.6459%]","0.622654","-","0.043063","-0.000085","-0.000057"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.659190","350,000","0.659245","341,037","0.000062","[-0.001952, +0.002076]","0.000094","[-0.2961%, +0.315%]","0.951849","-","0.332465","0.000031","0.000021","0.659279","341,317","0.000090","[-0.001917, +0.002096]","0.000136","[-0.2908%, +0.3179%]","0.930227","-","0.332465","0.000045","0.000030"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.626277","378,659","0.625706","369,011","-0.000580","[-0.002642, +0.001482]","-0.000926","[-0.4218%, +0.2366%]","0.581446","-","0.320096","-0.000278","-0.000186","0.626397","369,207","0.000126","[-0.001916, +0.002168]","0.000201","[-0.306%, +0.3461%]","0.904027","-","0.320096","0.000060","0.000040"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.812012","58,372","0.814318","57,012","0.002385","[-0.001701, +0.006471]","0.002937","[-0.2095%, +0.7969%]","0.252667","-","0.055449","0.000198","0.000132","0.811250","56,991","-0.000826","[-0.004988, +0.003335]","-0.001017","[-0.6142%, +0.4107%]","0.697185","-","0.055449","-0.000068","-0.000046"
